City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Ozernovskiy,RU,51.5,156.5167,46.26,75,32,9.28,scattered clouds
322,Mount Isa,AU,-20.7333,139.5,49.77,53,84,9.22,broken clouds
323,San Felipe,VE,10.3399,-68.7425,79.5,84,97,3.49,overcast clouds
324,Kosonsoy,UZ,41.2561,71.5508,73.96,71,63,6.8,broken clouds
325,Kawalu,ID,-7.3817,108.2082,72.28,94,99,2.51,overcast clouds
326,San Cristobal,VE,7.7669,-72.225,77.18,64,99,5.97,overcast clouds
327,Cotonou,BJ,6.3654,2.4183,78.78,94,40,2.3,scattered clouds
328,Tashara,RU,55.5195,83.5094,58.78,90,38,9.17,scattered clouds
329,Westport,US,41.1415,-73.3579,75.27,54,100,4.61,overcast clouds
330,Cubuk,TR,40.2386,33.0322,64.15,72,40,16.11,scattered clouds
331,Malanje,AO,-9.5402,16.341,60.55,41,0,3.62,clear sky
332,Yunhe,CN,34.0833,119.7167,66.81,80,100,5.91,overcast clouds
333,Mattru,SL,7.6244,-11.8332,75.33,95,100,3.2,overcast clouds
334,Te Anau,NZ,-45.4167,167.7167,39.22,97,100,4.27,moderate rain
335,Hambantota,LK,6.1241,81.1185,80.24,80,100,16.2,overcast clouds
336,Marawi,PH,7.9986,124.2928,68.11,92,96,2.71,overcast clouds
337,Bereda,ES,43.2686,-7.5406,62.42,94,100,8.08,overcast clouds
338,Yeppoon,AU,-23.1333,150.7333,47.98,72,99,8.97,overcast clouds
339,Yar-Sale,RU,66.8333,70.8333,56.77,80,100,9.46,light rain
340,Atyashevo,RU,54.5644,46.0691,52.29,92,0,5.39,clear sky
341,Ust-Omchug,RU,61.15,149.6333,39.51,81,92,2.46,overcast clouds
342,Marsh Harbour,BS,26.5412,-77.0636,83.19,70,16,11.03,few clouds
343,Malko Tarnovo,BG,41.9833,27.5333,59.59,99,98,9.17,moderate rain
